,ID,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,Tipo
18,2016-0026,1,2016-02-28,1900-01-01 07:30:00,CALLE,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,Cruce
19,2016-0027,1,2016-02-28,1900-01-01 09:35:00,AVENIDA,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,Cruce
20,2016-0028,1,2016-03-02,1900-01-01 10:00:00,AVENIDA,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS,Cruce
21,2016-0029,1,2016-03-04,1900-01-01 17:30:00,AVENIDA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,Cruce
22,2016-0031,1,2016-03-08,1900-01-01 12:30:00,GRAL PAZ,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO,PASAJEROS,Cruce
23,2016-0034,1,2016-03-12,1900-01-01 12:30:00,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON,PASAJEROS,Cruce
24,2016-0035,1,2016-03-13,1900-01-01 06:00:00,AVENIDA,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO,PASAJEROS,Cruce
25,2016-0036,1,2016-03-14,1900-01-01 00:15:00,CALLE,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO,PASAJEROS,Cruce
26,2016-0037,1,2016-03-19,1900-01-01 11:00:00,AVENIDA,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO,MOTO,Cruce
27,2016-0038,1,2016-03-21,1900-01-01 08:06:00,GRAL PAZ,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PEATON,PASAJEROS,Cruce
28,2016-0039,1,2016-03-23,1900-01-01 01:50:00,AVENIDA,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.6088396,MOTO,PASAJEROS,Cruce
29,2016-0041,2,2016-03-29,1900-01-01 11:00:00,AVENIDA,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.4607655,-34.63350444,MOTO,CARGAS,Cruce
30,2016-0043,1,2016-03-30,1900-01-01 18:15:00,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON,CARGAS,Cruce
31,2016-0044,1,2016-03-31,1900-01-01 19:40:00,AVENIDA,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MOTO,MULTIPLE,Cruce
32,2016-0045,1,2016-04-11,1900-01-01 10:25:00,GRAL PAZ,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,SD,Cruce
33,2016-0047,1,2016-04-15,1900-01-01 05:30:00,CALLE,LIMA 1483,1,-58.38247061,-34.62571878,PEATON,PASAJEROS,Altura
34,2016-0048,1,2016-04-15,1900-01-01 17:40:00,AVENIDA,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.5917024,PEATON,PASAJEROS,Cruce
35,2016-0049,1,2016-04-17,1900-01-01 00:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,SD,SD,Altura
36,2016-0050,1,2016-04-19,1900-01-01 09:50:00,AVENIDA,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON,PASAJEROS,Cruce
37,2016-0051,1,2016-04-20,1900-01-01 04:00:00,AVENIDA,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO,CARGAS,Cruce
38,2016-0052,1,2016-04-20,1900-01-01 20:00:00,AUTOPISTA,nan,13,,,MOTO,SD,Altura
39,2016-0053,1,2016-04-22,1900-01-01 09:30:00,AVENIDA,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.4842918,-34.57558053,PEATON,PASAJEROS,Cruce
40,2016-0054,1,2016-04-23,1900-01-01 21:00:00,AUTOPISTA,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,MOTO,Cruce
41,2016-0055,1,2016-04-25,1900-01-01 20:30:00,AVENIDA,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON,CARGAS,Cruce
42,2016-0056,1,2016-04-26,1900-01-01 04:45:00,AVENIDA,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,Altura
43,2016-0058,1,2016-05-04,1900-01-01 14:00:00,CALLE,LIMA 1471,1,-58.38247542,-34.62556293,PEATON,MOTO,Altura
44,2016-0059,1,2016-05-08,1900-01-01 16:30:00,CALLE,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON,PASAJEROS,Cruce
45,2016-0064,1,2016-05-14,1900-01-01 18:11:00,AVENIDA,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON,PASAJEROS,Cruce
46,2016-0065,1,2016-05-20,1900-01-01 14:40:00,AVENIDA,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON,AUTO,Cruce
47,2016-0067,1,2016-05-21,1900-01-01 17:00:00,AVENIDA,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.6751276,MOTO,PASAJEROS,Cruce
48,2016-0068,1,2016-05-22,1900-01-01 22:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO,PASAJEROS,Cruce
49,2016-0069,1,2016-05-23,1900-01-01 03:30:00,AVENIDA,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO,CARGAS,Cruce
50,2016-0073,1,2016-06-11,1900-01-01 15:00:00,CALLE,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO,CARGAS,Altura
51,2016-0074,1,2016-06-12,1900-01-01 06:40:00,GRAL PAZ,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,AUTO,Cruce
52,2016-0075,1,2016-06-12,1900-01-01 23:13:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON,AUTO,Cruce
53,2016-0076,1,2016-06-13,1900-01-01 16:20:00,AVENIDA,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON,PASAJEROS,Cruce
