,ID,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,Tipo
143,2016-0178,1,2016-12-30,1900-01-01 16:18:00,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,PEATON,MULTIPLE,Cruce
144,2017-0001,1,2017-01-02,1900-01-01 01:00:00,AVENIDA,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.4659423,-34.61028571,MOTO,CARGAS,Cruce
145,2017-0003,1,2017-01-05,1900-01-01 03:10:00,AVENIDA,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,CARGAS,CARGAS,Cruce
146,2017-0007,1,2017-01-11,1900-01-01 17:00:00,CALLE,LIMA y MEXICO,1,-58.3816166,-34.61529543,PEATON,MULTIPLE,Cruce
147,2017-0008,1,2017-01-16,1900-01-01 00:40:00,CALLE,"CABRERA, JOSE A. y BONPLAND",14,-58.43917004,-34.58494351,MOTO,PASAJEROS,Cruce
148,2017-0009,1,2017-01-16,1900-01-01 13:56:00,AUTOPISTA,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.41595919,-34.62743346,MOTO,CARGAS,Cruce
149,2017-0010,1,2017-01-16,1900-01-01 16:30:00,AVENIDA,DIRECTORIO AV. y RIGLOS,6,-58.4356488,-34.62828656,MOTO,AUTO,Cruce
150,2017-0011,1,2017-01-22,1900-01-01 02:30:00,GRAL PAZ,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.5007381,-34.5497951,MOTO,OBJETO FIJO,Cruce
151,2017-0012,1,2017-01-24,1900-01-01 14:00:00,CALLE,"TRAFUL y TABORDA, DIOGENES",4,-58.40969005,-34.6505529,MOTO,CARGAS,Cruce
152,2017-0013,1,2017-01-27,1900-01-01 07:00:00,AVENIDA,"IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,PEATON,CARGAS,Altura
153,2017-0014,1,2017-01-28,1900-01-01 08:27:34,AVENIDA,DONADO y ARIAS,12,-58.49185972,-34.55046754,MOTO,MULTIPLE,Cruce
154,2017-0015,1,2017-02-02,1900-01-01 15:18:03,AVENIDA,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,PEATON,AUTO,Cruce
155,2017-0016,1,2017-02-03,1900-01-01 05:12:21,AUTOPISTA,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO,CARGAS,Altura
156,2017-0017,1,2017-02-06,1900-01-01 08:00:00,AVENIDA,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.429012,-34.58095431,MOTO,AUTO,Cruce
157,2017-0018,1,2017-02-09,1900-01-01 07:00:00,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,Cruce
158,2017-0021,1,2017-02-18,1900-01-01 05:30:00,CALLE,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,MOTO,PASAJEROS,Cruce
159,2017-0024,1,2017-02-23,1900-01-01 20:50:00,AVENIDA,RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,PEATON,PASAJEROS,Altura
160,2017-0025,1,2017-02-24,1900-01-01 17:05:00,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.6542464,MOTO,SD,Cruce
161,2017-0026,2,2017-02-26,1900-01-01 05:15:00,AVENIDA,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,Cruce
162,2017-0027,1,2017-02-26,1900-01-01 21:57:00,AVENIDA,CASEROS AV. 1429,1,-58.38332245,-34.6319325,PEATON,AUTO,Altura
163,2017-0028,1,2017-02-28,1900-01-01 09:20:00,AVENIDA,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,PEATON,AUTO,Cruce
164,2017-0029,1,2017-03-07,1900-01-01 02:15:00,CALLE,MOZART y TANDIL,9,-58.48501341,-34.64742455,SD,AUTO,Cruce
165,2017-0030,1,2017-03-07,1900-01-01 08:00:00,AVENIDA,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,AUTO,PASAJEROS,Cruce
166,2017-0031,1,2017-03-11,1900-01-01 01:30:00,CALLE,24 DE NOVIEMBRE y PAVON,3,-58.4099756,-34.62873635,AUTO,OBJETO FIJO,Cruce
167,2017-0032,1,2017-03-12,1900-01-01 05:00:00,GRAL PAZ,"PAZ, GRAL. AV. y LOS CEDROS",8,-58.48892175,-34.68359163,AUTO,AUTO,Cruce
168,2017-0033,1,2017-03-12,1900-01-01 07:30:00,GRAL PAZ,"PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11,-58.52466448,-34.60325478,AUTO,AUTO,Cruce
169,2017-0034,1,2017-03-13,1900-01-01 07:50:00,CALLE,GODOY CRUZ 2651,14,-58.42554218,-34.57929036,PEATON,AUTO,Altura
170,2017-0035,3,2017-03-23,1900-01-01 05:00:00,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,Cruce
171,2017-0036,2,2017-03-29,1900-01-01 18:00:00,GRAL PAZ,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,MOTO,PASAJEROS,Cruce
172,2017-0037,1,2017-03-31,1900-01-01 03:00:00,AVENIDA,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO,CARGAS,Cruce
173,2017-0038,1,2017-04-01,1900-01-01 19:00:00,AVENIDA,CASTAÃ‘ARES AV. y LAUTARO,7,-58.44516857,-34.64363363,MOTO,AUTO,Cruce
174,2017-0040,1,2017-04-03,1900-01-01 09:40:00,AVENIDA,"GUIRALDES, INT. 2699",13,-58.43834197,-34.54560369,AUTO,MULTIPLE,Altura
175,2017-0041,1,2017-04-03,1900-01-01 23:15:00,CALLE,"FERNANDEZ MORENO, BALDOMERO 2186",7,-58.45485084,-34.63531854,MOTO,AUTO,Altura
176,2017-0042,1,2017-04-10,1900-01-01 09:00:00,GRAL PAZ,"LUGONES, LEOPOLDO AV.",14,,,MOTO,CARGAS,Altura
177,2017-0045,1,2017-04-14,1900-01-01 06:15:00,CALLE,NOGOYA 5940,10,-58.52449285,-34.62454175,MOTO,OBJETO FIJO,Altura
178,2017-0047,1,2017-04-23,1900-01-01 06:30:00,AVENIDA,ARGENTINA AV. y CORVALAN,8,-58.46713742,-34.6719879,MOTO,AUTO,Cruce
179,2017-0049,1,2017-04-27,1900-01-01 18:16:00,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,-58.43850413,-34.65554754,PEATON,PASAJEROS,Cruce
180,2017-0050,2,2017-04-28,1900-01-01 11:08:08,AUTOPISTA,nan,9,,,MOTO,CARGAS,Altura
181,2017-0051,1,2017-05-01,1900-01-01 03:47:47,AUTOPISTA,nan,7,,,AUTO,AUTO,Altura
182,2017-0052,1,2017-05-05,1900-01-01 03:40:00,GRAL PAZ,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8,-58.49413799,-34.68095739,PEATON,CARGAS,Cruce
183,2017-0053,1,2017-05-05,1900-01-01 20:16:22,CALLE,VIEYTES y VILLARINO,4,-58.37547846,-34.65326075,MOTO,CARGAS,Cruce
184,2017-0054,1,2017-05-07,1900-01-01 21:00:00,AVENIDA,"DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15,-58.48680218,-34.58689719,MOTO,AUTO,Cruce
185,2017-0055,1,2017-05-09,1900-01-01 08:30:00,AVENIDA,DE LOS CONSTITUYENTES AV. 4900,12,-58.49563989,-34.57962262,AUTO,AUTO,Altura
186,2017-0058,1,2017-05-09,1900-01-01 23:10:00,AVENIDA,CORDOBA AV. y LIBERTAD,1,-58.38403232,-34.5991594,PEATON,MOTO,Cruce
187,2017-0059,1,2017-05-11,1900-01-01 09:24:00,CALLE,BRASIL y LIMA,1,-58.38223382,-34.62693865,PEATON,PASAJEROS,Cruce
188,2017-0060,1,2017-05-13,1900-01-01 07:20:00,AVENIDA,"ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.45966521,-34.67323292,MOTO,OBJETO FIJO,Cruce
189,2017-0061,1,2017-05-15,1900-01-01 13:29:30,AVENIDA,PARAGUAY y CALLAO AV.,2,-58.39303911,-34.59871111,PEATON,MOTO,Cruce
190,2017-0062,1,2017-05-15,1900-01-01 16:00:00,AVENIDA,"JUSTO, JUAN B. AV. y SAN BLAS",10,-58.51262106,-34.63395999,MOTO,CARGAS,Cruce
191,2017-0063,1,2017-05-17,1900-01-01 10:13:00,AVENIDA,CHILE y 9 DE JULIO AV.,1,-58.38118367,-34.61646839,PEATON,PASAJEROS,Cruce
192,2017-0064,1,2017-05-20,1900-01-01 05:00:00,CALLE,"MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1,-58.37653284,-34.60582475,CARGAS,AUTO,Cruce
193,2017-0065,1,2017-05-22,1900-01-01 16:00:00,AVENIDA,SUAREZ AV. y HERRERA,4,-58.37709334,-34.64035082,BICICLETA,CARGAS,Cruce
194,2017-0066,1,2017-05-22,1900-01-01 18:10:00,AVENIDA,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,15,-58.46002142,-34.60409469,PEATON,PASAJEROS,Cruce
195,2017-0067,1,2017-05-23,1900-01-01 02:45:00,AVENIDA,"DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6,-58.4338197,-34.62801894,MOTO,CARGAS,Cruce
196,2017-0068,1,2017-05-27,1900-01-01 19:50:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",8,-58.43580656,-34.66437532,MOTO,OBJETO FIJO,Altura
197,2017-0069,1,2017-05-24,1900-01-01 14:15:00,GRAL PAZ,"PAZ, GRAL. AV. y SCHMIDL, ULRICO",9,-58.52173071,-34.65997463,MOTO,SD,Cruce
198,2017-0070,1,2017-05-30,1900-01-01 13:20:00,CALLE,NUEVA YORK 3696,11,-58.50791763,-34.59804273,PEATON,AUTO,Altura
199,2017-0072,1,2017-06-03,1900-01-01 23:20:00,AVENIDA,DE LOS CONSTITUYENTES AV. y VALLEJOS,12,-58.49175088,-34.58226957,AUTO,AUTO,Cruce
200,2017-0073,1,2017-06-04,1900-01-01 09:00:00,AVENIDA,CORRIENTES AV. y ECUADOR,3,-58.40781467,-34.60425669,MOTO,AUTO,Cruce
201,2017-0074,1,2017-06-04,1900-01-01 12:50:00,CALLE,CASCO 133,9,-58.52567073,-34.63787791,SD,SD,Altura
202,2017-0075,1,2017-06-12,1900-01-01 22:38:00,AVENIDA,DE MAYO AV. y 9 DE JULIO AV.,1,-58.381542,-34.60906385,PEATON,MOTO,Cruce
203,2017-0076,1,2017-06-13,1900-01-01 14:50:00,AVENIDA,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.38526125,-34.5780581,PEATON,CARGAS,Cruce
204,2017-0077,1,2017-06-17,1900-01-01 23:45:00,CALLE,FRAY JUSTO SANTAMARIA DE ORO 1930,14,-58.42934104,-34.58451712,MOTO,CARGAS,Altura
205,2017-0079,1,2017-06-19,1900-01-01 16:26:00,CALLE,MEXICO y DEAN FUNES,3,-58.40657493,-34.61781124,MOTO,CARGAS,Cruce
206,2017-0080,1,2017-06-22,1900-01-01 10:15:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9,-58.49525314,-34.64487785,PEATON,CARGAS,Cruce
207,2017-0082,1,2017-06-25,1900-01-01 22:40:00,AVENIDA,ENTRE RIOS AV. y BRASIL,4,-58.39092851,-34.62932696,PEATON,AUTO,Cruce
208,2017-0083,1,2017-07-04,1900-01-01 00:25:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,MOTO,CARGAS,Cruce
209,2017-0084,1,2017-07-05,1900-01-01 12:49:00,AVENIDA,DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A,2,-58.38502878,-34.58703485,PEATON,PASAJEROS,Cruce
210,2017-0085,1,2017-07-07,1900-01-01 14:15:00,AVENIDA,"TACUARI y GARCIA, MARTIN AV.",4,-58.37261143,-34.63150425,PEATON,PASAJEROS,Cruce
211,2017-0086,1,2017-07-09,1900-01-01 07:30:00,AVENIDA,RIVADAVIA AV. y MURGUIONDO,9,-58.51876802,-34.63905965,PEATON,MOTO,Cruce
212,2017-0087,1,2017-07-10,1900-01-01 10:45:00,CALLE,24 DE NOVIEMBRE 390,3,-58.41095567,-34.61516101,PEATON,AUTO,Altura
213,2017-0088,1,2017-07-10,1900-01-01 22:30:00,AVENIDA,PASEO COLON AV. y BRASIL AV.,1,-58.36797542,-34.62519403,PEATON,PASAJEROS,Cruce
214,2017-0089,1,2017-07-13,1900-01-01 12:05:00,CALLE,"LEGUIZAMON, MARTINIANO 901",9,-58.51514709,-34.64787051,SD,AUTO,Altura
215,2017-0090,1,2017-07-15,1900-01-01 05:15:00,GRAL PAZ,"CHIVILCOY AV. y PAZ, GRAL. AV.",11,-58.51925642,-34.59171721,PEATON,AUTO,Cruce
216,2017-0091,1,2017-07-15,1900-01-01 13:00:00,GRAL PAZ,"SUPERI y PAZ, GRAL. AV.",12,-58.48671535,-34.54321216,MOTO,SD,Cruce
217,2017-0092,1,2017-07-24,1900-01-01 22:16:01,AUTOPISTA,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,PEATON,AUTO,Cruce
218,2017-0093,1,2017-07-25,1900-01-01 16:48:40,AUTOPISTA,"LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",13,-58.43633522,-34.54966288,PEATON,AUTO,Cruce
219,2017-0094,1,2017-07-27,1900-01-01 08:50:00,CALLE,"HUGO, VICTOR 2639",10,-58.52640838,-34.61765855,BICICLETA,CARGAS,Altura
220,2017-0095,1,2017-08-06,1900-01-01 08:00:00,AVENIDA,"CORDOBA AV. y SALGUERO, JERONIMO",14,-58.41894306,-34.59778875,MOTO,AUTO,Cruce
221,2017-0096,1,2017-08-07,1900-01-01 19:50:00,AVENIDA,CABILDO AV. y NUÃ‘EZ,13,-58.46756026,-34.54972741,PEATON,PASAJEROS,Cruce
222,2017-0098,1,2017-08-08,1900-01-01 12:10:00,CALLE,"BONIFACIO, JOSE 2114",7,-58.45715752,-34.63132912,PEATON,AUTO,Altura
223,2017-0099,1,2017-08-17,1900-01-01 19:45:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. 5400",14,-58.42406784,-34.56213916,BICICLETA,AUTO,Altura
224,2017-0100,1,2017-08-21,1900-01-01 07:45:00,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,3,-58.3967447,-34.61512051,MOTO,OBJETO FIJO,Altura
225,2017-0101,1,2017-08-23,1900-01-01 10:00:00,AVENIDA,"LACROZE, FEDERICO AV. y ZAPATA",13,-58.44537508,-34.57084818,PEATON,MULTIPLE,Cruce
226,2017-0102,1,2017-08-24,1900-01-01 01:10:00,AVENIDA,"IRIARTE, GRAL. AV. y ZAVALETA",4,-58.40056767,-34.6510708,PEATON,CARGAS,Cruce
227,2017-0104,1,2017-08-25,1900-01-01 09:00:00,AVENIDA,9 DE JULIO AV. y ESTADOS UNIDOS,1,-58.38109568,-34.61853244,PEATON,CARGAS,Cruce
228,2017-0106,1,2017-08-31,1900-01-01 19:50:00,CALLE,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,14,-58.42533612,-34.58035258,PEATON,PASAJEROS,Cruce
229,2017-0107,1,2017-09-01,1900-01-01 11:30:00,AVENIDA,DEL LIBERTADOR AV. y JARAMILLO,13,-58.46062311,-34.54395182,MOTO,CARGAS,Cruce
230,2017-0108,2,2017-09-02,1900-01-01 04:53:08,GRAL PAZ,"PAZ, GRAL. AV. y MACHAIN",12,-58.49491054,-34.54795581,OBJETO FIJO,AUTO,Cruce
231,2017-0109,1,2017-09-04,1900-01-01 21:00:00,AVENIDA,DIRECTORIO AV. y PORTELA,7,-58.47130269,-34.63665402,MOTO,AUTO,Cruce
232,2017-0110,1,2017-09-06,1900-01-01 14:15:00,AVENIDA,"LAVALLE y ALEM, LEANDRO N. AV.",1,-58.370488,-34.60189492,PEATON,PASAJEROS,Cruce
233,2017-0111,1,2017-09-07,1900-01-01 18:23:37,CALLE,USPALLATA y PIROVANO,4,-58.42023854,-34.6423411,PEATON,CARGAS,Cruce
234,2017-0112,2,2017-09-10,1900-01-01 09:32:17,AUTOPISTA,AUTOPISTA 25 DE MAYO y VARELA AV.,7,-58.45807401,-34.6399743,AUTO,OBJETO FIJO,Cruce
235,2017-0113,1,2017-09-11,1900-01-01 06:30:00,AVENIDA,SANTA FE AV. y MAIPU,1,-58.37697717,-34.59573848,PEATON,PASAJEROS,Cruce
236,2017-0114,1,2017-09-15,1900-01-01 02:30:00,AVENIDA,ALVEAR AV. y DEL LIBERTADOR AV.,2,-58.3910058,-34.5849866,AUTO,OBJETO FIJO,Cruce
237,2017-0115,1,2017-09-19,1900-01-01 18:52:33,AVENIDA,PAVON AV. y TREINTA Y TRES ORIENTALES,5,-58.42182126,-34.63089661,MOTO,BICICLETA,Cruce
238,2017-0116,1,2017-09-20,1900-01-01 22:24:00,GRAL PAZ,"PAZ, GRAL. AV. 5750",12,-58.51389422,-34.58075791,MOTO,OBJETO FIJO,Altura
239,2017-0118,1,2017-09-22,1900-01-01 07:02:09,AVENIDA,"VIEYTES y CRUZ, OSVALDO AV.",4,-58.37585415,-34.65232158,MOTO,AUTO,Cruce
240,2017-0120,1,2017-10-02,1900-01-01 15:55:33,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,-58.47297505,-34.66245085,MOTO,CARGAS,Cruce
241,2017-0123,1,2017-10-10,1900-01-01 01:05:38,AVENIDA,ALBARIÃ‘O y ARGENTINA AV.,8,-58.46855503,-34.67216349,PEATON,AUTO,Cruce
242,2017-0124,1,2017-10-12,1900-01-01 14:40:28,CALLE,"RAMIREZ DE VELASCO, JUAN 1211",15,-58.44254033,-34.59185043,MOTO,PASAJEROS,Altura
243,2017-0125,1,2017-10-13,1900-01-01 06:12:20,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",8,-58.46622247,-34.67926929,MOTO,OBJETO FIJO,Cruce
244,2017-0126,2,2017-10-14,1900-01-01 06:15:00,AVENIDA,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,-58.48003734,-34.68148508,AUTO,OBJETO FIJO,Cruce
245,2017-0127,1,2017-10-16,1900-01-01 07:45:00,AVENIDA,GALLO y CORDOBA AV.,2,-58.41192137,-34.59800248,MOTO,MOTO,Cruce
246,2017-0128,1,2017-10-17,1900-01-01 12:30:00,CALLE,"ARANGUREN, JUAN F., DR. 611",6,-58.44034689,-34.61349731,PEATON,PASAJEROS,Altura
247,2017-0129,1,2017-10-26,1900-01-01 19:15:15,AUTOPISTA,AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO,9,-58.47155277,-34.64925746,MOTO,PASAJEROS,Cruce
248,2017-0130,1,2017-10-27,1900-01-01 05:30:00,AVENIDA,CHORROARIN y SAN MARTIN AV.,15,-58.47883099,-34.59967065,AUTO,CARGAS,Cruce
249,2017-0132,1,2017-10-30,1900-01-01 14:00:00,AVENIDA,"COSQUIN y ROCA, CNEL. AV.",8,-58.46552171,-34.6937413,MOTO,PASAJEROS,Cruce
250,2017-0134,1,2017-11-06,1900-01-01 18:00:00,AVENIDA,"ROCA, CNEL. AV. 3555",8,-58.4423972,-34.66777987,PEATON,PASAJEROS,Altura
251,2017-0135,1,2017-11-07,1900-01-01 12:14:10,AVENIDA,WARNES AV. y PUNTA ARENAS,15,-58.47032551,-34.59626814,MOTO,CARGAS,Cruce
252,2017-0136,1,2017-11-16,1900-01-01 08:43:00,AVENIDA,"BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.41827843,-34.65522746,PEATON,PASAJEROS,Cruce
253,2017-0137,1,2017-11-17,1900-01-01 11:45:00,AVENIDA,MOSCONI GENERAL AV. y SAN NICOLAS,11,-58.51280715,-34.59279388,PEATON,CARGAS,Cruce
254,2017-0138,1,2017-11-19,1900-01-01 10:30:00,AVENIDA,"LAFUENTE AV. y PERON, EVA AV.",7,-58.46258582,-34.64385704,MOTO,OBJETO FIJO,Cruce
255,2017-0139,1,2017-11-19,1900-01-01 22:30:00,AVENIDA,"ROCA, CNEL. AV. y ESCALADA AV.",8,-58.45064148,-34.68003614,AUTO,OBJETO FIJO,Cruce
256,2017-0140,1,2017-11-19,1900-01-01 23:22:17,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,,,MOTO,PASAJEROS,Altura
257,2017-0141,1,2017-11-23,1900-01-01 19:45:00,AVENIDA,"LA PLATA AV. y GOYENA, PEDRO AV.",6,-58.42717783,-34.62513374,PEATON,PASAJEROS,Cruce
258,2017-0143,1,2017-11-25,1900-01-01 21:45:00,CALLE,"TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",11,-58.46442001,-34.60724519,AUTO,PASAJEROS,Cruce
259,2017-0144,1,2017-11-26,1900-01-01 06:45:00,GRAL PAZ,"ROCA, CNEL. AV. y PAZ, GRAL. AV.",8,-58.47064556,-34.69843756,AUTO,OBJETO FIJO,Cruce
260,2017-0145,1,2017-11-26,1900-01-01 17:05:00,CALLE,MAZA y DON BOSCO,5,-58.41677733,-34.61223119,MOTO,AUTO,Cruce
261,2017-0147,1,2017-11-28,1900-01-01 11:15:00,GRAL PAZ,"PAZ, GRAL. AV. y PERON, EVA AV.",9,-58.5025179,-34.67450313,MOTO,AUTO,Cruce
262,2017-0148,1,2017-11-29,1900-01-01 10:45:00,AVENIDA,SAN JUAN AV. y LA RIOJA,3,-58.40708125,-34.62438894,PEATON,PASAJEROS,Cruce
263,2017-0149,1,2017-11-30,1900-01-01 12:20:00,AVENIDA,PASEO COLON AV. y MEXICO,1,-58.36947198,-34.61477051,PEATON,PASAJEROS,Cruce
264,2017-0150,1,2017-12-04,1900-01-01 01:15:00,AVENIDA,RIVADAVIA AV. y MIRALLA,9,-58.51140889,-34.63934531,PEATON,AUTO,Cruce
265,2017-0151,1,2017-12-04,1900-01-01 02:15:00,CALLE,VIEYTES y LUJAN,4,-58.37460912,-34.65559133,PEATON,PASAJEROS,Cruce
266,2017-0152,1,2017-12-06,1900-01-01 17:30:00,CALLE,CACHI y TRAFUL,4,-58.41146277,-34.65073916,BICICLETA,PASAJEROS,Cruce
267,2017-0153,2,2017-12-11,1900-01-01 02:00:00,AVENIDA,ROSARIO y LA PLATA AV.,6,-58.42855267,-34.61829385,MOTO,PASAJEROS,Cruce
268,2017-0154,1,2017-12-11,1900-01-01 09:15:00,AVENIDA,ENTRE RIOS AV. y CASEROS AV.,4,-58.39035581,-34.63412287,PEATON,PASAJEROS,Cruce
269,2017-0155,1,2017-12-12,1900-01-01 21:25:41,AVENIDA,RIVADAVIA AV. 6350,7,-58.45593915,-34.62656868,SD,MOTO,Altura
270,2017-0157,1,2017-12-17,1900-01-01 09:02:00,GRAL PAZ,"PAZ, GRAL. AV. y HUMAITA",9,-58.52866211,-34.64597065,AUTO,PASAJEROS,Cruce
271,2017-0158,1,2017-12-18,1900-01-01 21:30:00,GRAL PAZ,"GUALEGUAYCHU y PAZ, GRAL. AV.",11,-58.52037476,-34.59407024,MOTO,AUTO,Cruce
272,2017-0159,1,2017-12-20,1900-01-01 04:31:27,AVENIDA,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO,AUTO,Cruce
273,2017-0160,1,2017-12-22,1900-01-01 13:15:00,AVENIDA,NAZCA AV. 365,7,-58.47074114,-34.62771756,PEATON,MOTO,Altura
274,2017-0161,1,2017-12-26,1900-01-01 15:30:00,AVENIDA,"PERON, EVA AV. 5249",9,-58.48200819,-34.65969965,PEATON,AUTO,Altura
275,2018-0001,1,2018-01-01,1900-01-01 22:50:00,AVENIDA,SAN JUAN AV. y RINCON,3,-58.39536773,-34.62297346,PEATON,MOTO,Cruce
276,2018-0002,1,2018-01-03,1900-01-01 16:40:00,CALLE,PERU 937,1,-58.37456088,-34.61895467,BICICLETA,PASAJEROS,Altura
277,2018-0003,1,2018-01-05,1900-01-01 10:12:00,AVENIDA,"PUEYRREDON, HONORIO, DR. AV. y GALICIA",15,-58.44860217,-34.60395657,PEATON,MULTIPLE,Cruce
278,2018-0004,1,2018-01-09,1900-01-01 09:40:00,AVENIDA,DEL LIBERTADOR AV. y MANZANARES,13,-58.46129513,-34.54332766,MOTO,MULTIPLE,Cruce
279,2018-0005,1,2018-01-09,1900-01-01 22:30:00,AVENIDA,PASEO COLON AV. 1019,1,-58.36907201,-34.61953517,PEATON,PASAJEROS,Altura
280,2018-0006,1,2018-01-10,1900-01-01 21:15:00,CALLE,VALLE y BARCO CENTENERA DEL,6,-58.44062219,-34.62499107,BICICLETA,PASAJEROS,Cruce
281,2018-0007,1,2018-01-11,1900-01-01 02:30:00,AUTOPISTA,AUTOPISTA PERITO MORENO KM. 0.6,9,-58.52502765,-34.63601265,AUTO,AUTO,Altura
282,2018-0008,1,2018-01-12,1900-01-01 17:50:00,AVENIDA,"HUERGO, ING. AV. e INDEPENDENCIA AV.",1,-58.36659655,-34.61687778,MOTO,CARGAS,Altura
283,2018-0009,1,2018-01-14,1900-01-01 02:00:00,AVENIDA,"PILCOMAYO y BROWN, ALTE. AV.",4,-58.36737389,-34.62763661,MOTO,MOTO,Cruce
284,2018-0010,1,2018-01-18,1900-01-01 05:10:00,CALLE,"CERVANTES y BELAUSTEGUI, LUIS, DR.",10,-58.49807953,-34.63038658,MOTO,CARGAS,Cruce
285,2018-0011,1,2018-01-19,1900-01-01 10:30:00,AVENIDA,"CALLAO AV. y LOPEZ, VICENTE",2,-58.39092703,-34.59088447,PEATON,PASAJEROS,Cruce
286,2018-0012,1,2018-01-26,1900-01-01 13:30:00,CALLE,"OLIDEN y CHILAVERT, MARTINIANO, CORONEL",8,-58.46912006,-34.68049201,MOTO,PASAJEROS,Cruce
287,2018-0013,1,2018-01-28,1900-01-01 08:15:00,AVENIDA,CONGRESO AV. y GALVAN,12,-58.48661286,-34.56786129,MOTO,AUTO,Cruce
288,2018-0014,1,2018-01-31,1900-01-01 20:00:00,AVENIDA,"MORENO, PERITO AV. y RIVERA INDARTE AV.",7,-58.44074927,-34.65080597,PEATON,MOTO,Cruce
289,2018-0015,2,2018-02-06,1900-01-01 01:00:00,AVENIDA,AUSTRALIA AV. 2800,4,-58.38636298,-34.64684275,MOTO,PASAJEROS,Altura
290,2018-0016,1,2018-02-15,1900-01-01 10:15:00,AVENIDA,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,MOTO,CARGAS,Cruce
291,2018-0017,1,2018-02-17,1900-01-01 04:15:00,AVENIDA,SAN PEDRITO AV. y RIVADAVIA AV.,7,-58.46963952,-34.63070603,PEATON,AUTO,Cruce
292,2018-0018,1,2018-02-17,1900-01-01 07:15:00,CALLE,"ISABEL LA CATOLICA y SALVADORES, CNEL.",4,-58.37207554,-34.64543658,MOTO,CARGAS,Cruce
